feature,importance
BroadcastName_A ANTONELLI,0.0
Session2TimeOfDay_night,0.0
EventName_Bahrain Grand Prix,0.0
EventName_Azerbaijan Grand Prix,0.0
EventName_Austrian Grand Prix,0.0
Session4TimeOfDay_morning,0.0
EventName_Australian Grand Prix,0.0
EventName_Abu Dhabi Grand Prix,0.0
OfficialEventName_FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2025,0.0
Session5TimeOfDay_night,0.0
OfficialEventName_FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2024,0.0
OfficialEventName_FORMULA 1 MSC CRUISES JAPANESE GRAND PRIX 2024,0.0
OfficialEventName_FORMULA 1 MSC CRUISES GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2024,0.0
Location_Imola,0.0
OfficialEventName_FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,0.0
OfficialEventName_FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2023,0.0
FP3_Driver_VER,0.0
OfficialEventName_FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2024,0.0
OfficialEventName_FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2023 ,0.0
RACEYEAR,0.0
OfficialEventName_FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2025,0.0
OfficialEventName_FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2024,0.0
OfficialEventName_FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,0.0
OfficialEventName_FORMULA 1 AZERBAIJAN GRAND PRIX 2023,0.0
FP1_RACEYEAR,0.0
OfficialEventName_FORMULA 1 AWS GRAND PRIX DU CANADA 2024,0.0
OfficialEventName_FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,0.0
OfficialEventName_FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2024,0.0
Location_Zandvoort,0.0
FP2_Driver_MAG,0.0
Location_Yas Island,0.0
Location_São Paulo,0.0
Location_Spielberg,0.0
Location_Spa-Francorchamps,0.0
Location_Silverstone,0.0
EventName_Chinese Grand Prix,0.0
Location_Monza,0.0
Location_Monaco,0.0
Location_Mexico City,0.0
Location_Melbourne,0.0
Location_Marina Bay,0.0
Location_Lusail,0.0
Location_Las Vegas,0.0
FP3_Driver_SAR,0.0
OfficialEventName_FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2024,0.0
