feature,importance
OfficialEventName_FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2023 ,0.0
OfficialEventName_FORMULA 1 MSC CRUISES JAPANESE GRAND PRIX 2024,0.0
OfficialEventName_FORMULA 1 MSC CRUISES GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2024,0.0
OfficialEventName_FORMULA 1 MSC CRUISES BELGIAN GRAND PRIX 2023,0.0
OfficialEventName_FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,0.0
OfficialEventName_FORMULA 1 LENOVO UNITED STATES GRAND PRIX 2023,0.0
OfficialEventName_FORMULA 1 LENOVO JAPANESE GRAND PRIX 2025 ,0.0
OfficialEventName_FORMULA 1 LENOVO JAPANESE GRAND PRIX 2023 ,0.0
OfficialEventName_FORMULA 1 LENOVO GRANDE PRÊMIO DE SÃO PAULO 2024,0.0
OfficialEventName_FORMULA 1 LENOVO CHINESE GRAND PRIX 2024,0.0
OfficialEventName_FORMULA 1 HUNGARIAN GRAND PRIX 2024,0.0
OfficialEventName_FORMULA 1 HEINEKEN SILVER LAS VEGAS GRAND PRIX 2023,0.0
EventName_Chinese Grand Prix,0.0
OfficialEventName_FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2024,0.0
OfficialEventName_FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2023,0.0
OfficialEventName_FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,0.0
OfficialEventName_FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2025,0.0
OfficialEventName_FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024,0.0
OfficialEventName_FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,0.0
OfficialEventName_FORMULA 1 GRAND PRIX DE MONACO 2024,0.0
OfficialEventName_FORMULA 1 GRAND PRIX DE MONACO 2023,0.0
OfficialEventName_FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2024,0.0
OfficialEventName_FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2023,0.0
OfficialEventName_FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2024,0.0
OfficialEventName_FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2024,0.0
OfficialEventName_FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,0.0
OfficialEventName_FORMULA 1 PIRELLI UNITED STATES GRAND PRIX 2024,0.0
OfficialEventName_FORMULA 1 QATAR AIRWAYS AUSTRIAN GRAND PRIX 2024,0.0
EventName_Canadian Grand Prix,0.0
EventName_British Grand Prix,0.0
EventName_Belgian Grand Prix,0.0
EventName_Bahrain Grand Prix,0.0
EventName_Azerbaijan Grand Prix,0.0
EventName_Austrian Grand Prix,0.0
EventName_Australian Grand Prix,0.0
EventName_Abu Dhabi Grand Prix,0.0
OfficialEventName_FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2025,0.0
OfficialEventName_FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2024,0.0
OfficialEventName_FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,0.0
OfficialEventName_FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2024,0.0
OfficialEventName_FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2023 ,0.0
OfficialEventName_FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023,0.0
OfficialEventName_FORMULA 1 ROLEX GRANDE PRÊMIO DE SÃO PAULO 2023,0.0
OfficialEventName_FORMULA 1 ROLEX BELGIAN GRAND PRIX 2024,0.0
OfficialEventName_FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2024,0.0
OfficialEventName_FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023,0.0
OfficialEventName_FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2024,0.0
OfficialEventName_FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2023,0.0
OfficialEventName_FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,0.0
OfficialEventName_FORMULA 1 QATAR AIRWAYS BRITISH GRAND PRIX 2024,0.0
OfficialEventName_FORMULA 1 QATAR AIRWAYS AZERBAIJAN GRAND PRIX 2024,0.0
Abbreviation_RUS,0.0
